Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;8077.95;8302.26;8075.47;8253.55;3633530000;134851000000
21/11/2017;8205.74;8348.66;7762.71;8071.26;4277610000;136967000000
20/11/2017;8039.07;8336.86;7949.36;8200.64;3488450000;134167000000
19/11/2017;7766.03;8101.91;7694.10;8036.49;3149320000;129595000000
18/11/2017;7697.21;7884.99;7463.44;7790.15;3667190000;128425000000
17/11/2017;7853.57;8004.59;7561.09;7708.99;4651670000;131026000000
16/11/2017;7323.24;7967.38;7176.58;7871.69;5123810000;122164000000
15/11/2017;6634.76;7342.25;6634.76;7315.54;4200880000;110667000000
14/11/2017;6561.48;6764.98;6461.75;6635.75;3197110000;109434000000
13/11/2017;5938.25;6811.19;5844.29;6559.49;6263250000;99029000000
12/11/2017;6295.45;6625.05;5519.01;5950.07;8957350000;104980000000
11/11/2017;6618.61;6873.15;6204.22;6357.60;4908680000;110362000000
10/11/2017;7173.73;7312.00;6436.87;6618.14;5208250000;119607000000
09/11/2017;7446.83;7446.83;7101.52;7143.58;3226250000;124146000000
08/11/2017;7141.38;7776.42;7114.02;7459.69;4602200000;119041000000
07/11/2017;7023.10;7253.32;7023.10;7144.38;2326340000;117056000000
06/11/2017;7403.22;7445.77;7007.31;7022.76;3111900000;123379000000
05/11/2017;7404.52;7617.48;7333.19;7407.41;2380410000;123388000000
04/11/2017;7164.48;7492.86;7031.28;7379.95;2483800000;119376000000
03/11/2017;7087.53;7461.29;7002.94;7207.76;3369860000;118084000000
02/11/2017;6777.77;7367.33;6758.72;7078.50;4653770000;112910000000
01/11/2017;6440.97;6767.31;6377.88;6767.31;2870320000;107287000000
31/10/2017;6132.02;6470.43;6103.33;6468.40;2311380000;102130000000
30/10/2017;6114.85;6214.99;6040.85;6130.53;1772150000;101833000000
29/10/2017;5754.44;6255.71;5724.58;6153.85;2859040000;95819800000
28/10/2017;5787.82;5876.72;5689.19;5753.09;1403920000;96369600000
27/10/2017;5899.74;5988.39;5728.82;5780.90;1710130000;98225400000
26/10/2017;5747.95;5976.80;5721.22;5904.83;1905040000;95685100000
25/10/2017;5524.60;5754.33;5397.88;5750.80;1966990000;91954200000
24/10/2017;5935.52;5935.52;5504.18;5526.64;2735700000;98781600000
23/10/2017;6006.00;6075.59;5732.47;5930.32;2401840000;99941600000
22/10/2017;6036.66;6076.26;5792.34;6008.42;2034630000;100438000000
21/10/2017;5996.79;6194.88;5965.07;6031.60;2207100000;99763200000
20/10/2017;5708.11;6060.11;5627.23;6011.45;2354430000;94947900000
19/10/2017;5583.74;5744.35;5531.06;5708.52;1780540000;92867000000
18/10/2017;5603.82;5603.82;5151.44;5590.69;2399270000;93190200000
17/10/2017;5741.58;5800.35;5472.72;5605.51;1821570000;95469300000
16/10/2017;5687.57;5776.23;5544.21;5725.59;2008070000;94559000000
15/10/2017;5835.96;5852.48;5478.61;5678.19;1976040000;97011900000
14/10/2017;5643.53;5837.70;5591.64;5831.79;1669030000;93803000000
13/10/2017;5464.16;5840.30;5436.85;5647.21;3615480000;90812400000
12/10/2017;4829.58;5446.91;4822.00;5446.91;2791610000;80256700000
11/10/2017;4789.25;4873.73;4751.63;4826.48;1222280000;79578200000
10/10/2017;4776.21;4922.17;4765.10;4781.99;1597140000;79351800000
09/10/2017;4614.52;4878.71;4564.25;4772.02;1968740000;76656500000
08/10/2017;4429.67;4624.14;4405.64;4610.48;1313870000;73575400000
07/10/2017;4369.35;4443.88;4321.05;4426.89;906928000;72565100000
06/10/2017;4324.46;4413.27;4320.53;4370.81;1069940000;71810600000
05/10/2017;4229.88;4362.64;4164.05;4328.41;1161770000;70233700000
04/10/2017;4319.37;4352.31;4210.42;4229.36;1116770000;71712500000
03/10/2017;4408.46;4432.47;4258.89;4317.48;1288020000;73181300000
02/10/2017;4395.81;4470.23;4377.46;4409.32;1431730000;72963200000
01/10/2017;4341.05;4403.74;4269.81;4403.74;1208210000;72047300000
30/09/2017;4166.11;4358.43;4160.86;4338.71;1207450000;69136600000
29/09/2017;4171.62;4214.63;4039.29;4163.07;1367050000;69219200000
28/09/2017;4197.13;4279.31;4109.70;4174.73;1712320000;69633200000
27/09/2017;3892.94;4210.05;3884.82;4200.67;1686880000;64579200000
26/09/2017;3928.41;3969.89;3869.90;3892.35;1043740000;65161000000
25/09/2017;3681.58;3950.25;3681.58;3926.07;1374210000;61061100000
24/09/2017;3796.15;3796.15;3666.90;3682.84;768015000;62954300000
23/09/2017;3629.92;3819.21;3594.58;3792.40;928114000;60190000000
22/09/2017;3628.02;3758.27;3553.53;3630.70;1194830000;60152300000
21/09/2017;3901.47;3916.42;3613.63;3631.04;1411480000;64677600000
20/09/2017;3916.36;4031.39;3857.73;3905.95;1213830000;64918500000
19/09/2017;4073.79;4094.07;3868.87;3924.97;1563980000;67520300000
18/09/2017;3591.09;4079.23;3591.09;4065.20;1943210000;59514100000
17/09/2017;3606.28;3664.81;3445.64;3582.88;1239150000;59757800000
16/09/2017;3637.75;3808.84;3487.79;3625.04;1818400000;60271600000
15/09/2017;3166.30;3733.45;2946.62;3637.52;4148070000;52453500000
14/09/2017;3875.37;3920.60;3153.86;3154.95;2716310000;64191600000
13/09/2017;4131.98;4131.98;3789.92;3882.59;2219410000;68432200000
12/09/2017;4168.88;4344.65;4085.22;4130.81;1864530000;69033400000
11/09/2017;4122.47;4261.67;4099.40;4161.27;1557330000;68256000000
10/09/2017;4229.34;4245.44;3951.04;4122.94;1679090000;70018100000
09/09/2017;4229.81;4308.82;4114.11;4226.06;1386230000;70017200000
08/09/2017;4605.16;4661.00;4075.18;4228.75;2700890000;76220200000
07/09/2017;4589.14;4655.04;4491.33;4599.88;1844620000;75945000000
06/09/2017;4376.59;4617.25;4376.59;4597.12;2172100000;72418700000
05/09/2017;4228.29;4427.84;3998.11;4376.53;2697970000;69954400000
04/09/2017;4591.63;4591.63;4108.40;4236.31;2987330000;75955500000
03/09/2017;4585.27;4714.08;4417.59;4582.96;1933190000;75841700000
02/09/2017;4901.42;4975.04;4469.24;4578.77;2722140000;81060600000
01/09/2017;4701.76;4892.01;4678.53;4892.01;2599080000;77748400000
31/08/2017;4555.59;4736.05;4549.40;4703.39;1944930000;75322300000
30/08/2017;4570.36;4626.52;4471.41;4565.30;1937850000;75556600000
29/08/2017;4389.21;4625.68;4352.13;4579.02;2486080000;72553800000
28/08/2017;4384.45;4403.93;4224.64;4382.66;1959330000;72467900000
27/08/2017;4345.10;4416.59;4317.29;4382.88;1537460000;71809200000
26/08/2017;4372.06;4379.28;4269.52;4352.40;1511610000;72249100000
25/08/2017;4332.82;4455.70;4307.35;4371.60;1727970000;71595100000
24/08/2017;4137.60;4376.39;4130.26;4334.68;2037750000;68363900000
23/08/2017;4089.01;4255.78;4078.41;4151.52;2369820000;67553000000
22/08/2017;3998.35;4128.76;3674.58;4100.52;3764240000;66051000000
21/08/2017;4090.48;4109.14;3988.60;4001.74;2800890000;67567100000
20/08/2017;4189.31;4196.29;4069.88;4087.66;2109770000;69192700000
19/08/2017;4137.75;4243.26;3970.55;4193.70;2975820000;68333100000
18/08/2017;4324.34;4370.13;4015.40;4160.62;2941710000;71406500000
17/08/2017;4384.44;4484.70;4243.71;4331.69;2553360000;72389100000
16/08/2017;4200.34;4381.23;3994.42;4376.63;2272040000;69342700000
15/08/2017;4326.99;4455.97;3906.18;4181.93;3258050000;71425500000
14/08/2017;4066.10;4325.13;3989.16;4325.13;2463090000;67112300000
13/08/2017;3880.04;4208.39;3857.80;4073.26;3159090000;64034100000
12/08/2017;3650.63;3949.92;3613.70;3884.71;2219590000;60242100000
11/08/2017;3373.82;3679.72;3372.12;3650.62;2021190000;55668000000
10/08/2017;3341.84;3453.45;3319.47;3381.28;1515110000;55134700000
09/08/2017;3420.40;3422.76;3247.67;3342.47;1468960000;56424900000
08/08/2017;3370.22;3484.85;3345.83;3419.94;1752760000;55590300000
07/08/2017;3212.78;3397.68;3180.89;3378.94;1482280000;52987300000
06/08/2017;3257.61;3293.29;3155.60;3213.94;1105030000;53720900000
05/08/2017;2897.63;3290.01;2874.83;3252.91;1945700000;47778200000
04/08/2017;2806.93;2899.33;2743.72;2895.89;1002120000;46276200000
03/08/2017;2709.56;2813.31;2685.14;2804.73;804797000;44666400000
02/08/2017;2727.13;2762.53;2668.59;2710.67;1094950000;44950800000
01/08/2017;2871.30;2921.35;2685.61;2718.26;1324670000;47321800000
